"llaveho","c_ingxtrab","ingxtrab","c_ingxrnta","ingxrnta","c_ingxinv","ingxinv","c_otrosing","otrosing","ing_total","tipo_ing","destiping"
"0000027041",1,223600,1,10800,0,0,1,60000,294400,1,"Con Ingreso Positivo"
"0000027051",1,144000,0,0,0,0,0,0,144000,1,"Con Ingreso Positivo"
"0000028011",1,480000,0,0,0,0,1,240000,720000,1,"Con Ingreso Positivo"
"0000028021",1,161200,0,0,0,0,0,0,161200,1,"Con Ingreso Positivo"
"0000028031",1,132600,0,0,0,0,0,0,132600,1,"Con Ingreso Positivo"
"0000028041",1,72000,0,0,0,0,0,0,72000,1,"Con Ingreso Positivo"
"0000029011",1,150400,0,0,0,0,0,0,150400,1,"Con Ingreso Positivo"
"0000029031",1,134400,0,0,0,0,0,0,134400,1,"Con Ingreso Positivo"
"0000029041",1,93600,0,0,0,0,1,0,93600,1,"Con Ingreso Positivo"
"0000029051",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000030011",1,195000,0,0,0,0,0,0,195000,1,"Con Ingreso Positivo"
"0000030031",1,0,1,14400,0,0,1,288000,302400,1,"Con Ingreso Positivo"
"0000030041",1,62400,0,0,0,0,0,0,62400,1,"Con Ingreso Positivo"
"0000030051",1,130800,0,0,0,0,1,30000,160800,1,"Con Ingreso Positivo"
"0000031021",1,72800,0,0,0,0,0,0,72800,1,"Con Ingreso Positivo"
"0000031031",1,44200,0,0,0,0,0,0,44200,1,"Con Ingreso Positivo"
"0000031051",1,130800,0,0,0,0,1,10400,141200,1,"Con Ingreso Positivo"
"0000032031",1,120000,0,0,0,0,0,0,120000,1,"Con Ingreso Positivo"
"0000032041",1,0,0,0,0,0,1,177000,177000,1,"Con Ingreso Positivo"
"0000032051",1,324000,0,0,0,0,0,0,324000,1,"Con Ingreso Positivo"
"0000033011",1,0,0,0,0,0,1,0,0,2,"Con Ingreso cero"
"0000033021",1,236800,0,0,0,0,1,60000,296800,1,"Con Ingreso Positivo"
"0000033031",1,0,0,0,0,0,0,0,0,2,"Con Ingreso cero"
"0000033041",1,86400,1,15000,0,0,0,0,101400,1,"Con Ingreso Positivo"
"0000034011",1,180000,0,0,0,0,1,3e+05,480000,1,"Con Ingreso Positivo"
"0000034021",1,0,0,0,0,0,1,126000,126000,1,"Con Ingreso Positivo"
"0000034041",1,456000,0,0,0,0,0,0,456000,1,"Con Ingreso Positivo"
"0000034051",1,78000,0,0,0,0,1,15600,93600,1,"Con Ingreso Positivo"
"0000035051",1,376800,0,0,0,0,1,144000,520800,1,"Con Ingreso Positivo"
"0000036011",1,0,0,0,0,0,1,39000,39000,1,"Con Ingreso Positivo"
"0000036031",1,0,0,0,0,0,1,15300,15300,1,"Con Ingreso Positivo"
"0000036041",1,96000,0,0,0,0,0,0,96000,1,"Con Ingreso Positivo"
"0000036051",1,96000,0,0,0,0,1,15000,111000,1,"Con Ingreso Positivo"
"0000037021",1,0,0,0,0,0,1,40800,40800,1,"Con Ingreso Positivo"
"0000037031",1,438000,0,0,0,0,0,0,438000,1,"Con Ingreso Positivo"
"0000038011",1,24000,0,0,0,0,1,0,24000,1,"Con Ingreso Positivo"
"0000038021",1,82040,0,0,0,0,0,0,82040,1,"Con Ingreso Positivo"
"0000038031",1,172800,0,0,0,0,1,28800,201600,1,"Con Ingreso Positivo"
